基準番号（ＨＯＴ番号）,処方用番号（ＨＯＴ７）,会社識別用番号,調剤用番号,物流用番号,ＪＡＮコード,薬価基準収載医薬品コード,個別医薬品コード,レセプト電算処理システムコード（１）,レセプト電算処理システムコード（２）,告示名称,販売名,レセプト電算処理システム医薬品名,規格単位,包装形態,包装単位数,包装単位単位,包装総量数,包装総量単位,区分,製造会社,販売会社,更新区分,更新年月日
100303101,1003031,01,,,,1112700X1011,1112700X1038,661110021,,ハロタン,,フローセン,１ｍＬ,,,,,,外,,武田薬品,1,20011214
100305501,1003055,01,,,,7134700X1016,7134700X1024,667130002,,エーテル,,エーテル,１０ｍＬ,,,,,,外,,昭和薬品化工,1,20011214
100306201,1003062,01,,,,1115400X1019,1115400X1027,641110021,,注射用チオペンタールナトリウム,,ラボナール　３００ｍｇ,３００ｍｇ１管,,,,,,注,,田辺製薬,1,20011214
100307901,1003079,01,,,,1115400X2015,1115400X2023,641110022,,注射用チオペンタールナトリウム,,ラボナール　５００ｍｇ,５００ｍｇ１管,,,,,,注,,田辺製薬,1,20011214
100308601,1003086,01,,,,1115401A1029,1115401A1029,641110007,,ネンブタール注射液,,ネンブタール注射液　５％,５％１０ｍＬバイアル,,,,,,注,,大日本製薬,1,20011214
100309301,1003093,01,,,,1115403D1016,1115403D1024,641110018,,注射用チアミラールナトリウム,,チトゾール　３００ｍｇ（溶解液付）,３００ｍｇ１管（溶解液付）,,,,,,注,,杏林製薬,1,20011214
100310901,1003109,01,,,,1115403D2012,1115403D2020,641110019,,注射用チアミラールナトリウム,,０．５ｇイソゾール　（溶解液付）,５００ｍｇ１管（溶解液付）,,,,,,注,,三菱ウェルファーマ,1,20020530
100310902,1003109,02,,,,1115403D2012,1115403D2039,641110020,,注射用チアミラールナトリウム,,チトゾール　５００ｍｇ（溶解液付）,５００ｍｇ１管（溶解液付）,,,,,,注,,杏林製薬,1,20011214
100312301,1003123,01,,,,1116701X1023,1116701X1023,661110001,,アネソキシン－３０,,アネソキシン　３０％,３０％１Ｌ,,,,,,外,,中外製薬,1,20020530
100313001,1003130,01,,,,1116702X1028,1116702X1028,661110002,,アネソキシン－５０,,アネソキシン　５０％,５０％１Ｌ,,,,,,外,,中外製薬,1,20020530
100314701,1003147,01,,,,1119400A1023,1119400A1023,641110002,,ケタラール１０,,ケタラール１０（２００ｍｇ２０ｍＬ）,２００ｍｇ２０ｍＬ１瓶,,,,,,注,,三共,1,20011214
100315401,1003154,01,,,,1119400A2020,1119400A2020,641110003,,ケタラール５０,,ケタラール５０（５００ｍｇ１０ｍＬ）,５００ｍｇ１０ｍＬ１瓶,,,,,,注,,三共,1,20011214
100316101,1003161,01,,,,1119401A1028,1119401A1028,641110006,,ドロレプタン,,ドロレプタン　２．５ｍｇ,２．５ｍｇ１ｍＬバイアル,,,,,,注,,三共,1,20011214
100317802,1003178,02,,,,1119402A1022,1119402A1022,640407085,,１％ディプリバン注,,１％ディプリバン注　２００ｍｇ２０ｍＬ,２００ｍｇ２０ｍＬ１管,,,,,,注,,アストラゼネカ,1,20011214
100318502,1003185,02,,,,1119402A2029,1119402A2029,640407086,,１％ディプリバン注,,１％ディプリバン注　５００ｍｇ５０ｍＬ,５００ｍｇ５０ｍＬ１瓶,,,,,,注,,アストラゼネカ,1,20011214
100319201,1003192,01,,,,1119700G1020,1119700G1020,661110003,,エトレン,,エトレン,１ｍＬ,,,,,,外,,大日本製薬,1,20011214
100320801,1003208,01,,,,1119701G1025,1119701G1025,661110019,,フォーレン,,フォーレン,１ｍＬ,,,,,,外,,大日本製薬,1,20011214
