"基準番号（ＨＯＴコード）","処方用番号（ＨＯＴ７）","会社識別用番号","調剤用番号","物流用番号","ＪＡＮコード","薬価基準収載医薬品コード","個別医薬品コード","レセプト電算処理システムコード（１）","レセプト電算処理システムコード（２）","告示名称","販売名","レセプト電算処理システム医薬品名","規格単位","包装形態","包装単位数","包装単位単位","包装総量数","包装総量単位","区分","製造会社","販売会社","更新区分","更新年月日"
"100303101","1003031","01",,,,"1112700X1011","1112700X1038","661110021",,"（局）ハロタン",,"フローセン","１ｍＬ",,,,,,"外","武田薬品","武田薬品","1","20250831"
"100305501","1003055","01",,,,"7134700X1016","7134700X1024","667130002",,"（局）エーテル",,"エーテル","１０ｍＬ",,,,,,"外","昭和エーテル","ジーシー昭和薬品","1","20250831"
"100306201","1003062","01",,,,"1115400X1019","1115400X1027","641110021",,"（局）注射用チオペンタールナトリウム",,"ラボナール注射用０．３ｇ　３００ｍｇ","３００ｍｇ１管",,,,,,"注","田辺三菱製薬","田辺三菱製薬","1","20250831"
"100306202","1003062","02",,,,"1115400X1019","1115400X1027","641110021",,"（局）注射用チオペンタールナトリウム",,"ラボナール注射用０．３ｇ　３００ｍｇ","３００ｍｇ１管",,,,,,"注","ニプロＥＳファーマ","ニプロＥＳファーマ","1","20250831"
"100306203","1003062","03",,,,"1115400X1019","1115400X1027","641110021",,"（局）注射用チオペンタールナトリウム",,"ラボナール注射用０．３ｇ　３００ｍｇ","３００ｍｇ１管",,,,,,"注","ニプロ","ニプロ","1","20250831"
"100307901","1003079","01",,,,"1115400X2015","1115400X2023","641110022",,"（局）注射用チオペンタールナトリウム",,"ラボナール注射用０．５ｇ　５００ｍｇ","５００ｍｇ１管",,,,,,"注","田辺三菱製薬","田辺三菱製薬","1","20250831"
"100307902","1003079","02",,,,"1115400X2015","1115400X2023","641110022",,"（局）注射用チオペンタールナトリウム",,"ラボナール注射用０．５ｇ　５００ｍｇ","５００ｍｇ１管",,,,,,"注","ニプロＥＳファーマ","ニプロＥＳファーマ","1","20250831"
"100307903","1003079","03",,,,"1115400X2015","1115400X2023","641110022",,"（局）注射用チオペンタールナトリウム",,"ラボナール注射用０．５ｇ　５００ｍｇ","５００ｍｇ１管",,,,,,"注","ニプロ","ニプロ","1","20250831"
"100311601","1003116","01",,,,"1116700X1100","1116700X1100","661110025",,"（局）笑気ガス〈ショウワ〉",,"笑気ガス〈ショウワ〉","１ｇ",,,,,,"外","昭和電工","中外製薬","1","20250831"
"100311603","1003116","03",,,,"1116700X1053","1116700X1053","620001380",,"（局）※液化亜酸化窒素（日本エア・リキード）",,"液化亜酸化窒素（日本エア・リキード）","１ｇ",,,,,,"外","日本エア・リキード","日本エア・リキード","1","20250831"
