"薬価基準収載
医薬品コード",成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,"収載年月日(YYYYMMDD)
【例】
2014年4月1日
(20140401)",備考
1112700X1011,ハロタン,ハロタン,,,
1114700X1016,麻酔用エーテル,麻酔用エーテル,,,
1115400X1019,チオペンタールナトリウム,注射用チオペンタールナトリウム,,,
1115400X2015,チオペンタールナトリウム,注射用チオペンタールナトリウム,,,
1115403D3019,チアミラールナトリウム,注射用チアミラールナトリウム,,,
1115403D4015,チアミラールナトリウム,注射用チアミラールナトリウム,,,
1116700X1010,亜酸化窒素,亜酸化窒素,,,
1116700X1045,亜酸化窒素,マルワ亜酸化窒素,,,
1116700X1053,亜酸化窒素,液化亜酸化窒素（日本エア・リキード）,,,
1116700X1061,亜酸化窒素,液化亜酸化窒素（日産）,,,
1116700X1088,亜酸化窒素,小池笑気,,,
1116700X1100,亜酸化窒素,笑気ガス〈ショウワ〉,,,
1116700X1126,亜酸化窒素,アネスタ,,,
1119400A1031,ケタミン塩酸塩,ケタラール静注用２００ｍｇ,１,,
1119400A2038,ケタミン塩酸塩,ケタラール筋注用５００ｍｇ,１,,
1119400A3026,ケタミン塩酸塩,ケタラール静注用５０ｍｇ,１,,
1119401A1036,ドロペリドール,ドロレプタン注射液２５ｍｇ,１,,
1119402A1022,プロポフォール,１％ディプリバン注,２,,
1119402A1030,プロポフォール,１％プロポフォール注「マルイシ」,３,,
1119402A1073,プロポフォール,プロポフォール１％静注２０ｍＬ「日医工」,３,,
1119402A1081,プロポフォール,プロポフォール静注１％「ＫＡＢＩ」,３,,
1119402A1090,プロポフォール,プロポフォール１％静注２０ｍＬ「マイラン」,３,,
1119402A1103,プロポフォール,プロポフォール静注１％２０ｍＬ「ＦＫ」,３,20140620,
1119402A1111,プロポフォール,プロポフォール１％静注２０ｍＬ「ファイザー」,３,20141212,
1119402A2029,プロポフォール,１％ディプリバン注,２,,
1119402A2037,プロポフォール,１％プロポフォール注「マルイシ」,３,,
1119402A2053,プロポフォール,プロポフォール注１％「Ｆ」,３,,
1119402A2100,プロポフォール,プロポフォール１％静注５０ｍＬ「日医工」,３,,
1119402A2118,プロポフォール,プロポフォール静注１％「ＫＡＢＩ」,３,,
1119402A2126,プロポフォール,プロポフォール１％静注５０ｍＬ「マイラン」,３,,
1119402A2134,プロポフォール,プロポフォール静注１％５０ｍＬ「ＦＫ」,３,20140620,
1119402A2142,プロポフォール,プロポフォール１％静注５０ｍＬ「ファイザー」,３,20141212,
1119402A3025,プロポフォール,１％プロポフォール注「マルイシ」,３,,
1119402A3033,プロポフォール,１％ディプリバン注,２,,
1119402A3041,プロポフォール,プロポフォール注１％「Ｆ」,３,,
1119402A3050,プロポフォール,プロポフォール１％静注１００ｍＬ「日医工」,３,,
1119402A3068,プロポフォール,プロポフォール１％静注１００ｍＬ「マイラン」,３,,
1119402A3076,プロポフォール,プロポフォール静注１％「ＫＡＢＩ」,３,,
1119402A3084,プロポフォール,プロポフォール静注１％１００ｍＬ「ＦＫ」,３,20140620,
1119402A3092,プロポフォール,プロポフォール１％静注１００ｍＬ「ファイザー」,３,20141212,
1119402A4021,プロポフォール,プロポフォール注１％「Ｆ」,３,,
1119402A4056,プロポフォール,１％ディプリバン注,２,,
1119402A5028,プロポフォール,２％プロポフォール注「マルイシ」,３,,
1119402G1025,プロポフォール,１％ディプリバン注－キット,２,,
