薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考
1112700X1011,ハロタン,ハロタン,,,,
1114700X1016,麻酔用エーテル,麻酔用エーテル,,,,
1115400X1019,チオペンタールナトリウム,注射用チオペンタールナトリウム,,,,
1115400X2015,チオペンタールナトリウム,注射用チオペンタールナトリウム,,,,
1115403D3019,チアミラールナトリウム,注射用チアミラールナトリウム,,,,
1115403D3051,チアミラールナトリウム,チトゾール注用０．５ｇ,,,,
1115403D4015,チアミラールナトリウム,注射用チアミラールナトリウム,,,,
1116700X1010,亜酸化窒素,亜酸化窒素,,,,
1116700X1045,亜酸化窒素,マルワ亜酸化窒素,,,,
1116700X1053,亜酸化窒素,液化亜酸化窒素（日本エア・リキード）,,,,
1116700X1061,亜酸化窒素,液化亜酸化窒素（日産）,,,,
1116700X1088,亜酸化窒素,小池笑気,,,,
1119400A1031,ケタミン塩酸塩,ケタラール静注用２００ｍｇ,,,,
1119400A2038,ケタミン塩酸塩,ケタラール筋注用５００ｍｇ,,,,
1119400A3026,ケタミン塩酸塩,ケタラール静注用５０ｍｇ,,,,
1119401A1036,ドロペリドール,ドロレプタン注射液２５ｍｇ,1,,,
1119402A1022,プロポフォール,１％ディプリバン注,2,,,
1119402A1030,プロポフォール,１％プロポフォール注「マルイシ」,3,,,
1119402A1073,プロポフォール,プロポフォール１％静注２０ｍＬ「日医工」,3,,,
1119402A1103,プロポフォール,プロポフォール静注１％２０ｍＬ「ＦＫ」,3,,,
1119402A1111,プロポフォール,プロポフォール１％静注２０ｍＬ「ファイザー」,3,,,
1119402A2029,プロポフォール,１％ディプリバン注,2,,,
1119402A2037,プロポフォール,１％プロポフォール注「マルイシ」,3,,,
1119402A2100,プロポフォール,プロポフォール１％静注５０ｍＬ「日医工」,3,,,
1119402A2134,プロポフォール,プロポフォール静注１％５０ｍＬ「ＦＫ」,3,,,
1119402A2142,プロポフォール,プロポフォール１％静注５０ｍＬ「ファイザー」,3,,,
1119402A3025,プロポフォール,１％プロポフォール注「マルイシ」,3,,,
1119402A3033,プロポフォール,１％ディプリバン注,2,,,
1119402A3050,プロポフォール,プロポフォール１％静注１００ｍＬ「日医工」,3,,,
1119402A3084,プロポフォール,プロポフォール静注１％１００ｍＬ「ＦＫ」,3,,,
1119402A3092,プロポフォール,プロポフォール１％静注１００ｍＬ「ファイザー」,3,,,
1119402A5028,プロポフォール,２％プロポフォール注「マルイシ」,3,,,
1119402G1025,プロポフォール,１％ディプリバン注－キット,2,,,
1119402G2021,プロポフォール,１％ディプリバン注－キット,2,,,
1119701G1084,イソフルラン,フォーレン吸入麻酔液,2,,,
1119701G1092,イソフルラン,イソフルラン吸入麻酔液「ファイザー」,3,,,
1119702G1054,セボフルラン,セボフルラン吸入麻酔液「マイラン」,3,,,
1119702G1062,セボフルラン,セボフレン吸入麻酔液,2,,,
1119702G1070,セボフルラン,セボフルラン吸入麻酔液「ニッコー」,3,,,
1119703G1024,デスフルラン,スープレン吸入麻酔液,1,,,
1121001X1018,ブロモバレリル尿素,ブロモバレリル尿素,,,,
1121001X1131,ブロモバレリル尿素,ブロムワレリル尿素（山善）,,,,
1121001X1204,ブロモバレリル尿素,ブロバリン原末,,,,
1121001X1220,ブロモバレリル尿素,ブロムワレリル尿素「ＪＧ」,,,,
1123001X1012,抱水クロラール,抱水クロラール,,,,
