薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考,診療報酬における加算等の算定対象から除外する品目
1121001X1018,ブロモバレリル尿素,ブロモバレリル尿素,,,,,
1121001X1220,ブロモバレリル尿素,ブロムワレリル尿素「ＪＧ」,,,,,
1123001X1012,抱水クロラール,抱水クロラール,,,,,
1124001B1039,エスタゾラム,ユーロジン散１％,1,,,,
1124001F1014,エスタゾラム,エスタゾラム１ｍｇ錠,3,,,,
1124001F1022,エスタゾラム,ユーロジン１ｍｇ錠,2,,,,
1124001F2010,エスタゾラム,エスタゾラム２ｍｇ錠,3,,,,
1124001F2029,エスタゾラム,ユーロジン２ｍｇ錠,2,,,,
1124002M2022,フルラゼパム塩酸塩,ダルメートカプセル１５,1,,,,
1124003B1070,ニトラゼパム,ネルボン散１％,,,,,
1124003C1092,ニトラゼパム,ベンザリン細粒１％,,,,,
1124003C1114,ニトラゼパム,ニトラゼパム細粒１％「ＴＣＫ」,3,,,,
1124003F1021,ニトラゼパム,ベンザリン錠２,,,,,
1124003F2010,ニトラゼパム,ニトラゼパム５ｍｇ錠,3,,,,
1124003F2222,ニトラゼパム,ベンザリン錠５,,,,,
1124003F2230,ニトラゼパム,ネルボン錠５ｍｇ,,,,,
1124003F3016,ニトラゼパム,ニトラゼパム１０ｍｇ錠,3,,,,
1124003F3083,ニトラゼパム,ネルボン錠１０ｍｇ,,,,,
1124003F3121,ニトラゼパム,ベンザリン錠１０,,,,,
1124005C1032,ハロキサゾラム,ソメリン細粒１％,1,,,,
1124005F1020,ハロキサゾラム,ソメリン錠５ｍｇ,1,,,,
1124005F2027,ハロキサゾラム,ソメリン錠１０ｍｇ,1,,,,
1124007F1011,トリアゾラム,トリアゾラム０．１２５ｍｇ錠,3,,,,1
1124007F1020,トリアゾラム,ハルシオン０．１２５ｍｇ錠,2,,,,1
1124007F2018,トリアゾラム,トリアゾラム０．２５ｍｇ錠,3,,,,1
1124007F2026,トリアゾラム,ハルシオン０．２５ｍｇ錠,2,,,,1
1124008F1016,フルニトラゼパム,フルニトラゼパム１ｍｇ錠,3,,,,
1124008F1024,フルニトラゼパム,サイレース錠１ｍｇ,2,,,,
1124008F2012,フルニトラゼパム,フルニトラゼパム２ｍｇ錠,3,,,,
1124008F2020,フルニトラゼパム,サイレース錠２ｍｇ,2,,,,
1124009F1010,ブロチゾラム,ブロチゾラム０．２５ｍｇ錠,3,,,,1
1124009F1223,ブロチゾラム,レンドルミン錠０．２５ｍｇ,2,,,,1
1124009F2017,ブロチゾラム,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,3,,,,1
1124009F2025,ブロチゾラム,レンドルミンＤ錠０．２５ｍｇ,2,,,,1
1124010F1021,ロルメタゼパム,エバミール錠１．０,1,,,,
1124010F1030,ロルメタゼパム,ロラメット錠１．０,1,,,,
1124013B1031,オキサゾラム,セレナール散１０％,1,,,,
1124013F1033,オキサゾラム,セレナール錠５,1,,,,
1124013F2064,オキサゾラム,セレナール錠１０,1,,,,
1124014B1036,クロキサゾラム,セパゾン散１％,1,,,,
1124014F1038,クロキサゾラム,セパゾン錠１,1,,,,
1124014F2034,クロキサゾラム,セパゾン錠２,1,,,,
1124015M2038,クロラゼプ酸二カリウム,メンドンカプセル７．５ｍｇ,1,,,,
1124017B1129,ジアゼパム,セルシン散１％,,,,,
1124017B1137,ジアゼパム,ジアゼパム散１％「アメル」,3,,,,
1124017B1145,ジアゼパム,ホリゾン散１％,,,,,
1124017F2011,ジアゼパム,ジアゼパム２ｍｇ錠,3,,,,
1124017F2135,ジアゼパム,２ｍｇセルシン錠,,,,,
1124017F2151,ジアゼパム,ホリゾン錠２ｍｇ,,,,,
1124017F4014,ジアゼパム,ジアゼパム５ｍｇ錠,3,,,,
1124017F4049,ジアゼパム,５ｍｇセルシン錠,,,,,
