区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,1124001F2ZZZ,【般】エスタゾラム錠２ｍｇ,エスタゾラム,２ｍｇ１錠,"加算1,2",,6.6,,,,
内用薬,1124003C1ZZZ,【般】ニトラゼパム細粒１％,ニトラゼパム,１％１ｇ,加算1,,10.6,,,,
内用薬,1124003F2ZZZ,【般】ニトラゼパム錠５ｍｇ,ニトラゼパム,５ｍｇ１錠,"加算1,2",,5.7,,,,
内用薬,1124003F3ZZZ,【般】ニトラゼパム錠１０ｍｇ,ニトラゼパム,１０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124007F1ZZZ,【般】トリアゾラム錠０．１２５ｍｇ,トリアゾラム,０．１２５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124007F2ZZZ,【般】トリアゾラム錠０．２５ｍｇ,トリアゾラム,０．２５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124008F1ZZZ,【般】フルニトラゼパム錠１ｍｇ,フルニトラゼパム,１ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124008F2ZZZ,【般】フルニトラゼパム錠２ｍｇ,フルニトラゼパム,２ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124009F1ZZZ,【般】ブロチゾラム錠０．２５ｍｇ,ブロチゾラム,０．２５ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1124009F2ZZZ,【般】ブロチゾラム口腔内崩壊錠０．２５ｍｇ,ブロチゾラム,０．２５ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1124017F2ZZZ,【般】ジアゼパム錠２ｍｇ,ジアゼパム,２ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124017F4ZZZ,【般】ジアゼパム錠５ｍｇ,ジアゼパム,５ｍｇ１錠,"加算1,2",,6,,,,
内用薬,1124017F5ZZZ,【般】ジアゼパム錠１０ｍｇ,ジアゼパム,１０ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124020F2ZZZ,【般】ブロマゼパム錠２ｍｇ,ブロマゼパム,２ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124020F3ZZZ,【般】ブロマゼパム錠３ｍｇ,ブロマゼパム,３ｍｇ１錠,加算1,,6.1,,,,
内用薬,1124020F4ZZZ,【般】ブロマゼパム錠５ｍｇ,ブロマゼパム,５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124022F1ZZZ,【般】ロラゼパム錠０．５ｍｇ,ロラゼパム,０．５ｍｇ１錠,"加算1,2",,5.3,,,,
内用薬,1124022F2ZZZ,【般】ロラゼパム錠１ｍｇ,ロラゼパム,１ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124023F1ZZZ,【般】アルプラゾラム錠０．４ｍｇ,アルプラゾラム,０．４ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1124023F2ZZZ,【般】アルプラゾラム錠０．８ｍｇ,アルプラゾラム,０．８ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124026C1ZZZ,【般】トフィソパム細粒１０％,トフィソパム,１０％１ｇ,加算1,,10.4,,,,
内用薬,1124026F1ZZZ,【般】トフィソパム錠５０ｍｇ,トフィソパム,５０ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124029F1ZZZ,【般】ロフラゼプ酸エチル錠１ｍｇ,ロフラゼプ酸エチル,１ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1124029F2ZZZ,【般】ロフラゼプ酸エチル錠２ｍｇ,ロフラゼプ酸エチル,２ｍｇ１錠,"加算1,2",,9.6,,,,
内用薬,1124030F1ZZZ,【般】クアゼパム錠１５ｍｇ,クアゼパム,１５ｍｇ１錠,"加算1,2",,21.7,,,,
内用薬,1124030F2ZZZ,【般】クアゼパム錠２０ｍｇ,クアゼパム,２０ｍｇ１錠,"加算1,2",,27.8,,,,
内用薬,1129007F1ZZZ,【般】ゾピクロン錠７．５ｍｇ,ゾピクロン,７．５ｍｇ１錠,"加算1,2",,6.7,,,,
内用薬,1129007F2ZZZ,【般】ゾピクロン錠１０ｍｇ,ゾピクロン,１０ｍｇ１錠,"加算1,2",,7.5,,,,
内用薬,1129008F1ZZZ,【般】タンドスピロンクエン酸塩錠５ｍｇ,タンドスピロンクエン酸塩,５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1129008F2ZZZ,【般】タンドスピロンクエン酸塩錠１０ｍｇ,タンドスピロンクエン酸塩,１０ｍｇ１錠,"加算1,2",,9.3,,,,
内用薬,1129008F3ZZZ,【般】タンドスピロンクエン酸塩錠２０ｍｇ,タンドスピロンクエン酸塩,２０ｍｇ１錠,"加算1,2",,18,,,,
内用薬,1129009F1ZZZ,【般】ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1129009F2ZZZ,【般】ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1129009F3ZZZ,【般】ゾルピデム酒石酸塩口腔内崩壊錠５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１錠,加算1,,10.4,,,,
内用薬,1129009F4ZZZ,【般】ゾルピデム酒石酸塩口腔内崩壊錠１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ１錠,加算1,,10.4,,,,
内用薬,1129009S1ZZZ,【般】ゾルピデム酒石酸塩経口液５ｍｇ,ゾルピデム酒石酸塩,５ｍｇ１ｍＬ１包,加算1,,29.3,,,,
内用薬,1129009S2ZZZ,【般】ゾルピデム酒石酸塩経口液１０ｍｇ,ゾルピデム酒石酸塩,１０ｍｇ２ｍＬ１包,加算1,,40.4,,,,
内用薬,1129010F1ZZZ,【般】エスゾピクロン錠１ｍｇ,エスゾピクロン,１ｍｇ１錠,"加算1,2",,7.7,,,,
内用薬,1129010F2ZZZ,【般】エスゾピクロン錠２ｍｇ,エスゾピクロン,２ｍｇ１錠,"加算1,2",,12.5,,,,
内用薬,1129010F3ZZZ,【般】エスゾピクロン錠３ｍｇ,エスゾピクロン,３ｍｇ１錠,"加算1,2",,14.6,,,,
内用薬,1139002F1ZZZ,【般】カルバマゼピン錠２００ｍｇ,カルバマゼピン,２００ｍｇ１錠,加算1,,7.7,,,,
内用薬,1139002F2ZZZ,【般】カルバマゼピン錠１００ｍｇ,カルバマゼピン,１００ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1139004C1ZZZ,【般】バルプロ酸Ｎａ細粒２０％,バルプロ酸ナトリウム,２０％１ｇ,加算1,,18.1,,,,
内用薬,1139004D1ZZZ,【般】バルプロ酸Ｎａ徐放顆粒４０％,バルプロ酸ナトリウム,４０％１ｇ,"加算1,2",,26.3,,,,
内用薬,1139004GAZZZ,【般】バルプロ酸Ｎａ徐放錠２００ｍｇ,バルプロ酸ナトリウム,２００ｍｇ１錠,"加算1,2",例外コード,10.4,先発品はデパケンＲ錠２００ｍｇ（該当する先発品及び後発品の用法から、一般名コードを例外コードへ変更）,1139004G2012,バルプロ酸ナトリウム２００ｍｇ徐放錠,
内用薬,1139004GAZZZ,【般】バルプロ酸Ｎａ徐放錠２００ｍｇ,バルプロ酸ナトリウム,２００ｍｇ１錠,"加算1,2",例外コード,10.4,先発品はデパケンＲ錠２００ｍｇ（該当する先発品及び後発品の用法から、一般名コードを例外コードへ変更）,1139004G2063,デパケンＲ錠２００ｍｇ,
内用薬,1139004Q1ZZZ,【般】バルプロ酸Ｎａシロップ５％,バルプロ酸ナトリウム,５％１ｍＬ,"加算1,2",,7,,,,
内用薬,1139005B1ZZZ,【般】ゾニサミド散２０％,ゾニサミド,２０％１ｇ,"加算1,2",,25.6,,,,
内用薬,1139005F1ZZZ,【般】ゾニサミド錠１００ｍｇ,ゾニサミド,１００ｍｇ１錠,"加算1,2",,11.7,,,,
内用薬,1139008F1ZZZ,【般】トピラマート錠５０ｍｇ,トピラマート,５０ｍｇ１錠,"加算1,2",,21,,,,
内用薬,1139008F2ZZZ,【般】トピラマート錠１００ｍｇ,トピラマート,１００ｍｇ１錠,"加算1,2",,30.5,,,,
内用薬,1139008F3ZZZ,【般】トピラマート錠２５ｍｇ,トピラマート,２５ｍｇ１錠,"加算1,2",,11.1,,,,
内用薬,1139009F2ZZZ,【般】ラモトリギン錠５ｍｇ,ラモトリギン,５ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1139009F3ZZZ,【般】ラモトリギン錠２５ｍｇ,ラモトリギン,２５ｍｇ１錠,"加算1,2",,7.6,,,,
内用薬,1139009F4ZZZ,【般】ラモトリギン錠１００ｍｇ,ラモトリギン,１００ｍｇ１錠,"加算1,2",,28.7,,,,
内用薬,1139010F1ZZZ,【般】レベチラセタム錠２５０ｍｇ,レベチラセタム,２５０ｍｇ１錠,"加算1,2",,25.4,,,,
内用薬,1139010F2ZZZ,【般】レベチラセタム錠５００ｍｇ,レベチラセタム,５００ｍｇ１錠,"加算1,2",,41.6,,,,
内用薬,1139010F3ZZZ,【般】レベチラセタム粒状錠２５０ｍｇ,レベチラセタム,２５０ｍｇ１包,加算1,,25.4,,,,
内用薬,1139010F4ZZZ,【般】レベチラセタム粒状錠５００ｍｇ,レベチラセタム,５００ｍｇ１包,加算1,,41.6,,,,
内用薬,1139010R1ZZZ,【般】レベチラセタムシロップ用５０％,レベチラセタム,５０％１ｇ,"加算1,2",,63.7,,,,
内用薬,1141007F1ZZZ,【般】アセトアミノフェン錠２００ｍｇ,アセトアミノフェン,２００ｍｇ１錠,加算1,,6.1,,,,
内用薬,1141007F2ZZZ,【般】アセトアミノフェン錠３００ｍｇ,アセトアミノフェン,３００ｍｇ１錠,加算1,,6.1,,,,
内用薬,1141007F3ZZZ,【般】アセトアミノフェン錠５００ｍｇ,アセトアミノフェン,５００ｍｇ１錠,加算1,,11.2,,,,
内用薬,1141007Q1ZZZ,【般】アセトアミノフェンシロップ２％,アセトアミノフェン,２％１ｍＬ,加算1,,4.9,,,,
内用薬,1141007R1ZZZ,【般】アセトアミノフェンシロップ用２０％,アセトアミノフェン,２０％１ｇ,加算1,,7.2,,,,
内用薬,1141007R2ZZZ,【般】アセトアミノフェンシロップ用４０％,アセトアミノフェン,４０％１ｇ,加算1,,14.8,,,,
内用薬,1147002F1ZZZ,【般】ジクロフェナクＮａ錠２５ｍｇ,ジクロフェナクナトリウム,２５ｍｇ１錠,"加算1,2",,5.9,,,,
内用薬,1149001D1ZZZ,【般】イブプロフェン顆粒２０％,イブプロフェン,２０％１ｇ,"加算1,2",,6.5,,,,
内用薬,1149019F1ZZZ,【般】ロキソプロフェンＮａ錠６０ｍｇ,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,"加算1,2",,10.1,,,,
内用薬,1149029F1ZZZ,【般】ザルトプロフェン錠８０ｍｇ,ザルトプロフェン,８０ｍｇ１錠,"加算1,2",,10.4,,,,
内用薬,1149031F1ZZZ,【般】アクタリット錠１００ｍｇ,アクタリット,１００ｍｇ１錠,"加算1,2",,19.8,該当する後発品の経過措置期限が令和８年３月３１日であることから、同年４月１日以降は一般名処方マスタから削除される予定,,,
内用薬,1149032F1ZZZ,【般】エトドラク錠１００ｍｇ,エトドラク,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1149032F2ZZZ,【般】エトドラク錠２００ｍｇ,エトドラク,２００ｍｇ１錠,"加算1,2",,11.5,,,,
内用薬,1149035F1ZZZ,【般】メロキシカム錠５ｍｇ,メロキシカム,５ｍｇ１錠,"加算1,2",,8,,,,
内用薬,1149035F2ZZZ,【般】メロキシカム錠１０ｍｇ,メロキシカム,１０ｍｇ１錠,"加算1,2",,10.8,,,,
内用薬,1149036F1ZZZ,【般】ロルノキシカム錠２ｍｇ,ロルノキシカム,２ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1149036F2ZZZ,【般】ロルノキシカム錠４ｍｇ,ロルノキシカム,４ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1149037F1ZZZ,【般】セレコキシブ錠１００ｍｇ,セレコキシブ,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1149037F2ZZZ,【般】セレコキシブ錠２００ｍｇ,セレコキシブ,２００ｍｇ１錠,"加算1,2",,7.9,,,,
内用薬,1149038F1ZZZ,【般】トラマドール塩酸塩口腔内崩壊錠２５ｍｇ,トラマドール塩酸塩,２５ｍｇ１錠,"加算1,2",,9.4,,,,
内用薬,1149038F2ZZZ,【般】トラマドール塩酸塩口腔内崩壊錠５０ｍｇ,トラマドール塩酸塩,５０ｍｇ１錠,"加算1,2",,16.2,,,,
内用薬,1149117F1ZZZ,【般】トラマドール・アセトアミノフェン配合錠,トラマドール塩酸塩・アセトアミノフェン,１錠,"加算1,2",,7.2,先発品はトラムセット配合錠／後発品はトアラセット配合錠,,,
内用薬,1161001C1ZZZ,【般】アマンタジン塩酸塩細粒１０％,アマンタジン塩酸塩,１０％１ｇ,加算1,,6.7,,,,
内用薬,1161001F1ZZZ,【般】アマンタジン塩酸塩錠５０ｍｇ,アマンタジン塩酸塩,５０ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1161001F2ZZZ,【般】アマンタジン塩酸塩錠１００ｍｇ,アマンタジン塩酸塩,１００ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,1162001B1ZZZ,【般】ビペリデン塩酸塩散１％,ビペリデン塩酸塩,１％１ｇ,加算1,,11,,,,
