区分,薬価基準収載医薬品コード,成分名,規格,品名,麻薬,業者名追記,Unnamed: 7,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1121001X1018,ブロモバレリル尿素,１ｇ,局,,,ブロモバレリル尿素,,,,,8.8,,
内用薬,1121001X1085,ブロモバレリル尿素,１ｇ,局,,,ブロムワレリル尿素「メタル」,中北薬品,,,,9.4,,
内用薬,1121001X1131,ブロモバレリル尿素,１ｇ,局,,※,ブロムワレリル尿素（山善）,山善製薬,,,,9.4,,
内用薬,1121001X1204,ブロモバレリル尿素,１ｇ,局,,,ブロバリン原末,日本新薬,,,,9.4,,
内用薬,1121001X1212,ブロモバレリル尿素,１ｇ,局,,,ブロモバレリル尿素「ヨシダ」,吉田製薬,,,,10.1,,
内用薬,1121001X1220,ブロモバレリル尿素,１ｇ,局,,,ブロムワレリル尿素「ＪＧ」,日本ジェネリック,,,,9.4,,
内用薬,1123001X1012,抱水クロラール,１ｇ,局,,,抱水クロラール,,,,,36.2,,
内用薬,1124001B1039,エスタゾラム,１％１ｇ,,,,ユーロジン散１％,武田薬品工業,,先発品,,59.3,,
内用薬,1124001F1022,エスタゾラム,１ｍｇ１錠,,,,ユーロジン１ｍｇ錠,武田薬品工業,,先発品,○,9.9,,
内用薬,1124001F1030,エスタゾラム,１ｍｇ１錠,,,,エスタゾラム錠１ｍｇ「アメル」,共和薬品工業,後発品,,,7.5,,
内用薬,1124001F2029,エスタゾラム,２ｍｇ１錠,,,,ユーロジン２ｍｇ錠,武田薬品工業,,先発品,○,15.6,,
内用薬,1124001F2037,エスタゾラム,２ｍｇ１錠,,,,エスタゾラム錠２ｍｇ「アメル」,共和薬品工業,後発品,,,12.3,,
内用薬,1124002M1042,フルラゼパム塩酸塩,１０ｍｇ１カプセル,,,,ベノジールカプセル１０,協和発酵キリン,,先発品,,8.9,H27.3.31まで,
内用薬,1124002M2022,フルラゼパム塩酸塩,１５ｍｇ１カプセル,,,,ダルメートカプセル１５,共和薬品工業,,先発品,,10.8,,
内用薬,1124002M2049,フルラゼパム塩酸塩,１５ｍｇ１カプセル,,,,ベノジールカプセル１５,協和発酵キリン,,先発品,,10.8,H27.3.31まで,
内用薬,1124003B1070,ニトラゼパム,１％１ｇ,,,,ネルボン散１％,第一三共,,,,17.4,,
内用薬,1124003C1092,ニトラゼパム,１％１ｇ,,,,ベンザリン細粒１％,塩野義製薬,,準先発品,○,18.1,,
内用薬,1124003C1106,ニトラゼパム,１％１ｇ,,,,ネルロレン細粒１％,辰巳化学,後発品,,,6.2,,
内用薬,1124003F1021,ニトラゼパム,２ｍｇ１錠,,,,ベンザリン錠２,塩野義製薬,,,,5.8,,
内用薬,1124003F2176,ニトラゼパム,５ｍｇ１錠,,,,ネルロレン錠「５」,辰巳化学,後発品,,,5.4,,
内用薬,1124003F2184,ニトラゼパム,５ｍｇ１錠,,,,ノイクロニック錠５,テバ製薬,後発品,,,5.4,H26.9.30まで,
内用薬,1124003F2222,ニトラゼパム,５ｍｇ１錠,,,,ベンザリン錠５,塩野義製薬,,準先発品,○,11,,
内用薬,1124003F2230,ニトラゼパム,５ｍｇ１錠,,,,ネルボン錠５ｍｇ,第一三共,,準先発品,○,11,,
内用薬,1124003F2249,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「トーワ」,東和薬品,後発品,,,5.4,,
内用薬,1124003F2257,ニトラゼパム,５ｍｇ１錠,,,,ヒルスカミン錠５ｍｇ,イセイ,後発品,,,5.4,H26.9.30まで,
内用薬,1124003F2265,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,5.4,,
内用薬,1124003F2273,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.4,,
内用薬,1124003F2281,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「イセイ」,イセイ,後発品,,,5.4,,
内用薬,1124003F2290,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「テバ」,テバ製薬,後発品,,,5.4,,
内用薬,1124003F3016,ニトラゼパム,１０ｍｇ１錠,,,,ニトラゼパム１０ｍｇ錠,,後発品,,,5.6,,
内用薬,1124003F3083,ニトラゼパム,１０ｍｇ１錠,,,,ネルボン錠１０ｍｇ,第一三共,,準先発品,○,17.1,,
内用薬,1124003F3121,ニトラゼパム,１０ｍｇ１錠,,,,ベンザリン錠１０,塩野義製薬,,準先発品,○,17.1,,
内用薬,1124003F3156,ニトラゼパム,１０ｍｇ１錠,,,,ニトラゼパム錠１０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,5.6,,
内用薬,1124004F1042,ニメタゼパム,３ｍｇ１錠,,,,エリミン錠３ｍｇ,大日本住友製薬,,先発品,,14.6,,
内用薬,1124004F2030,ニメタゼパム,５ｍｇ１錠,,,,エリミン錠５ｍｇ,大日本住友製薬,,先発品,,19,,
内用薬,1124005C1032,ハロキサゾラム,１％１ｇ,,,,ソメリン細粒１％,第一三共,,先発品,,28.2,,
