変更区分,マスター種別,医薬品コード,医薬品名・規格名漢字有効桁数,医薬品名・規格名漢字名称,医薬品名・規格名カナ有効桁数,医薬品名・規格名カナ名称,単位コード,単位漢字有効桁数,単位漢字名称,金額種別,新又は現金額,予備,麻薬・毒薬・覚醒剤原料・向精神薬,神経破壊剤,生物学的製剤,後発品,予備,歯科特定薬剤,造影（補助）剤,注射容量,収載方式等識別,商品名等関連,旧金額金額種別,旧金額,漢字名称変更区分,カナ名称変更区分,剤形,予備,変更年月日,廃止年月日,薬価基準収載医薬品コード,公表順序番号,経過措置年月日又は商品名医薬品コード使用期限,基本漢字名称,薬価基準収載年月日,一般名コード,一般名処方の標準的な記載,一般名処方加算対象区分,抗ＨＩＶ薬区分,長期収載品関連,選定療養区分
5,Y,610406079,7,ガスター散２％,09,ｶﾞｽﾀｰｻﾝ2%,33,1,ｇ,1,9.50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,20260401,99999999,2325003B2029,100000000,0,ガスター散２％,0,2325003B2ZZZ,【般】ファモチジン散２％,2,0,0,1
0,Y,610406193,4,テンマ末,05,ﾃﾝﾏﾏﾂ,33,1,ｇ,1,22.30,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,,20260401,99999999,5100133A1011,100000001,0,テンマ末,0,,,0,0,0,0
0,Y,610406227,8,花扇加工ブシ末Ｋ,15,ﾊﾅｵｳｷﾞｶｺｳﾌﾞｼﾏﾂK,33,1,ｇ,1,9.80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,20260401,99999999,5900001A1025,100000002,0,花扇加工ブシ末Ｋ,0,,,0,0,0,0
0,Y,610406231,13,バリトゲンＨＤ　９８．６％,09,ﾊﾞﾘﾄｹﾞﾝHD,33,1,ｇ,1,1.44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,20260401,99999999,7212029X1023,100000003,0,バリトゲンＨＤ,0,,,0,0,0,0
0,Y,610406232,11,バリトップＨＤ　９９％,09,ﾊﾞﾘﾄｯﾌﾟHD,33,1,ｇ,1,1.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,20260401,99999999,7212022A1037,100000004,0,バリトップＨＤ,0,,,0,0,0,0
0,Y,610406378,11,ＭＳコンチン錠６０ｍｇ,14,MSｺﾝﾁﾝｼﾞｮｳ60MG,16,1,錠,1,1288.10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,20260401,99999999,8114004G3020,100000005,0,ＭＳコンチン錠６０ｍｇ,0,,,0,0,0,0
9,Y,610406382,16,オステラック錠１００　１００ｍｇ,13,ｵｽﾃﾗｯｸｼﾞｮｳ100,16,1,錠,1,10.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,20260401,20260331,1149032F1035,001289000,20260331,オステラック錠１００,0,1149032F1ZZZ,【般】エトドラク錠１００ｍｇ,2,0,0,1
9,Y,610406383,16,オステラック錠２００　２００ｍｇ,13,ｵｽﾃﾗｯｸｼﾞｮｳ200,16,1,錠,1,15.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,20260401,20260331,1149032F2031,001290000,20260331,オステラック錠２００,0,1149032F2ZZZ,【般】エトドラク錠２００ｍｇ,2,0,0,1
5,Y,610406385,16,セロシオンカプセル１０　１０ｍｇ,12,ｾﾛｼｵﾝｶﾌﾟｾﾙ10,15,4,カプセル,1,102.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,20260401,99999999,3919007M1021,100000006,0,セロシオンカプセル１０,0,,,0,0,0,0
5,Y,610406386,11,ゾビラックス顆粒４０％,15,ｿﾞﾋﾞﾗｯｸｽｶﾘｭｳ40%,33,1,ｇ,1,51.70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,20260401,99999999,6250002D1024,100000007,0,ゾビラックス顆粒４０％,0,6250002D1ZZZ,【般】アシクロビル顆粒４０％,2,0,0,1
5,Y,610406387,10,ハイペン錠１００ｍｇ,14,ﾊｲﾍﾟﾝｼﾞｮｳ100MG,16,1,錠,1,6.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,20260401,99999999,1149032F1027,100000008,0,ハイペン錠１００ｍｇ,0,1149032F1ZZZ,【般】エトドラク錠１００ｍｇ,2,0,0,1
